PID,condition,agent_type,agent_name,local_time,human_areas_initial,agent_areas_initial,human_areas_final,agent_areas_final,changes,final_score,final_completeness,water_time,game_time,human_vics_in_order,vics_human,vics_human_plan,vics_human_not_plan,vics_agent,compliance
PA57,mission_comm,nowill,Argo,1751991539,"['A1', 'A2', 'B1', 'B2']","['C1', 'C2', 'D1', 'D2']","['A1', 'A2', 'B1', 'B2']","['C1', 'C2', 'D1', 'D2']",0,80,1.0,48.01353907585144,251.8110589981079,8,8,8,0,8,1.0
PA57,mission_comm,will,Bolt,1751991024,"['A1', 'A2', 'D1', 'D2']","['B1', 'B2', 'C1', 'C2']","['A1', 'A2', 'D1', 'D2']","['B1', 'B2', 'C1', 'C2']",0,80,1.0,0.0,195.1780149936676,8,8,8,0,8,1.0
PA58,mission_comm,nowill,Bolt,1752045365,"['A1', 'A2', 'B1', 'B2']","['C1', 'C2', 'D1', 'D2']","['A1', 'A2', 'D1', 'D2']","['B1', 'B2', 'C1', 'C2']",2,80,1.0,8.987901210784912,184.5811219215393,9,9,8,1,7,0.8888888888888888
PA58,mission_comm,will,Argo,1752045081,"['A1', 'A2', 'D1', 'D2']","['B1', 'B2', 'C1', 'C2']","['A1', 'A2', 'D1', 'D2']","['B1', 'B2', 'C1', 'C2']",0,80,1.0,13.135529041290283,183.3260388374329,9,9,8,1,7,0.8888888888888888
PA59,mission_comm,nowill,Bolt,1752047272,"['A1', 'A2', 'B1', 'B2']","['C1', 'C2', 'D1', 'D2']","['A1', 'A2', 'B1', 'D2']","['B2', 'C1', 'C2', 'D1']",1,77,1.0,23.46673822402954,211.81152200698853,7,8,8,0,8,1.0
PA59,mission_comm,will,Argo,1752047635,"['A1', 'A2', 'D1', 'D2']","['B1', 'B2', 'C1', 'C2']","['A1', 'A2', 'B1', 'C1']","['B2', 'C2', 'D1', 'D2']",2,71,1.0,40.64988994598389,174.84095907211304,6,9,8,1,7,0.8888888888888888
PA6,mission_comm,nowill,Argo,1749629972,"['A1', 'A2', 'B1', 'B2']","['C1', 'C2', 'D1', 'D2']","['A1', 'A2', 'D1', 'D2']","['B1', 'B2', 'C1', 'C2']",2,71,1.0,6.024908781051636,194.46309185028076,5,8,8,0,8,1.0
PA6,mission_comm,will,Bolt,1749629450,"['A1', 'A2', 'D1', 'D2']","['B1', 'B2', 'C1', 'C2']","['A1', 'A2', 'D1', 'D2']","['B1', 'B2', 'C1', 'C2']",0,65,1.0,25.23393821716309,258.14861392974854,3,8,8,0,8,1.0
PA60,mission_nocomm,nowill,Argo,1752059896,"['A1', 'A2', 'B1', 'B2']","['C1', 'C2', 'D1', 'D2']","['A1', 'A2', 'B1', 'B2']","['C1', 'C2', 'D1', 'D2']",-1,80,1.0,70.63442850112915,180.22009301185608,8,8,8,0,8,1.0
PA60,mission_nocomm,will,Bolt,1752060247,"['A1', 'A2', 'D1', 'D2']","['B1', 'B2', 'C1', 'C2']","['A1', 'A2', 'D1', 'D2']","['B1', 'B2', 'C1', 'C2']",-1,80,1.0,30.553290843963623,169.788094997406,10,10,8,2,6,0.8
PA61,mission_nocomm,nowill,Argo,1752063259,"['A1', 'A2', 'B1', 'B2']","['C1', 'C2', 'D1', 'D2']","['A1', 'A2', 'B1', 'B2']","['C1', 'C2', 'D1', 'D2']",-1,80,1.0,85.3349199295044,205.9045853614807,9,9,8,1,7,0.8888888888888888
PA61,mission_nocomm,will,Bolt,1752062768,"['A1', 'A2', 'D1', 'D2']","['B1', 'B2', 'C1', 'C2']","['A1', 'A2', 'D1', 'D2']","['B1', 'B2', 'C1', 'C2']",-1,74,1.0,0.0,263.36394810676575,6,8,8,0,8,1.0
PA62,mission_nocomm,nowill,Bolt,1752070138,"['A1', 'A2', 'B1', 'B2']","['C1', 'C2', 'D1', 'D2']","['A1', 'A2', 'B1', 'B2']","['C1', 'C2', 'D1', 'D2']",-1,77,1.0,60.45070171356201,243.59059524536133,8,9,8,1,7,0.8888888888888888
PA62,mission_nocomm,will,Argo,1752070587,"['A1', 'A2', 'B1', 'B2']","['C1', 'C2', 'D1', 'D2']","['A1', 'A2', 'B1', 'B2']","['C1', 'C2', 'D1', 'D2']",-1,74,1.0,61.18723464012146,174.98875617980957,7,9,8,1,7,0.8888888888888888
PA63,mission_nocomm,nowill,Bolt,1752074408,"['A1', 'A2', 'B1', 'B2']","['C1', 'C2', 'D1', 'D2']","['A1', 'A2', 'B1', 'B2']","['C1', 'C2', 'D1', 'D2']",-1,80,1.0,47.40581393241882,161.47724294662476,8,8,8,0,8,1.0
PA63,mission_nocomm,will,Argo,1752074070,"['A1', 'A2', 'D1', 'D2']","['B1', 'B2', 'C1', 'C2']","['A1', 'A2', 'D1', 'D2']","['B1', 'B2', 'C1', 'C2']",-1,80,1.0,0.0,162.49931383132937,8,8,8,0,8,1.0
PA64,mission_comm,nowill,Bolt,1752076570,"['A1', 'A2', 'B1', 'B2']","['C1', 'C2', 'D1', 'D2']","['A1', 'A2', 'D1', 'D2']","['B1', 'B2', 'C1', 'C2']",2,65,1.0,0.0,280.2781410217285,3,8,8,0,8,1.0
PA64,mission_comm,will,Argo,1752076906,"['A1', 'A2', 'D1', 'D2']","['B1', 'B2', 'C1', 'C2']","['A1', 'A2', 'D1', 'D2']","['B1', 'B2', 'C1', 'C2']",0,80,1.0,6.791919946670532,151.3746280670166,8,8,8,0,8,1.0
PA65,mission_nocomm,nowill,Argo,1752086746,"['A1', 'A2', 'B1', 'B2']","['C1', 'C2', 'D1', 'D2']","['A1', 'A2', 'B1', 'B2']","['C1', 'C2', 'D1', 'D2']",-1,80,1.0,47.1289381980896,149.00583791732788,8,8,8,0,8,1.0
PA65,mission_nocomm,will,Bolt,1752086142,"['A1', 'A2', 'B1', 'B2']","['C1', 'C2', 'D1', 'D2']","['A1', 'A2', 'B1', 'B2']","['C1', 'C2', 'D1', 'D2']",-1,80,1.0,49.17841076850891,165.7464621067047,8,8,8,0,8,1.0
PA66,mission_nocomm,nowill,Argo,1752132445,"['A1', 'A2', 'B1', 'B2']","['C1', 'C2', 'D1', 'D2']","['A1', 'A2', 'B1', 'B2']","['C1', 'C2', 'D1', 'D2']",-1,80,1.0,40.769548416137695,215.03161001205444,8,8,8,0,8,1.0
PA66,mission_nocomm,will,Bolt,1752132852,"['A1', 'A2', 'B1', 'B2']","['C1', 'C2', 'D1', 'D2']","['A1', 'A2', 'B1', 'B2']","['C1', 'C2', 'D1', 'D2']",-1,80,1.0,53.109975814819336,154.32098412513733,9,9,8,1,7,0.8888888888888888
PA67,mission_comm,nowill,Bolt,1752139081,"['A1', 'A2', 'B1', 'B2']","['C1', 'C2', 'D1', 'D2']","['A1', 'A2', 'B1', 'B2']","['C1', 'C2', 'D1', 'D2']",0,80,1.0,47.039849519729614,178.66607284545898,9,9,8,1,7,0.8888888888888888
